City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Ossora,RU,59.2353,163.0719,-16.28,90,4,5.48,clear sky
326,Vila Velha,BR,-20.3297,-40.2925,75.94,91,100,5.99,light rain
327,Tosya,TR,41.0155,34.0401,36.14,65,62,1.83,broken clouds
328,Victoria Point,AU,-27.5833,153.3,71.19,80,43,1.99,scattered clouds
329,Aklavik,CA,68.2191,-135.0107,-32.73,98,97,3.2,overcast clouds
330,Sirjan,IR,29.452,55.6814,49.01,64,67,4.41,broken clouds
331,Khandyga,RU,62.6667,135.6,-41.57,100,97,2.24,overcast clouds
332,Amahai,ID,-3.3333,128.9167,77.72,85,100,4.99,overcast clouds
333,Majene,ID,-3.5403,118.9707,75.31,88,100,6.67,overcast clouds
334,Bansi,IN,27.1833,82.9333,52.52,64,0,4.88,clear sky
335,Xique-Xique,BR,-10.8218,-42.7263,83.35,57,100,9.46,overcast clouds
336,Ewa Beach,US,21.3156,-158.0072,76.69,77,0,6.85,clear sky
337,Klyuchi,RU,52.2667,79.1667,15.78,94,100,11.48,overcast clouds
338,Jurmala,LV,56.968,23.7704,35.62,69,20,10.36,few clouds
339,Atasu,KZ,48.6814,71.6433,14.47,95,100,11.92,overcast clouds
340,Gat,IL,31.61,34.7642,55.08,100,0,5.41,clear sky
341,Rio Grande,BR,-32.035,-52.0986,75.94,79,100,8.12,overcast clouds
342,Nantucket,US,41.2835,-70.0995,55.62,90,82,21.34,broken clouds
343,Kudahuvadhoo,MV,2.6708,72.8944,81.48,67,100,5.28,overcast clouds
344,Buluang,PH,13.3068,123.3425,73.42,96,100,2.73,overcast clouds
